word_id	ref	surface	lemma	morph
04xeN	Num.1.1	וַ/יְדַבֵּ֨ר	c/1696	HC/Vpw3ms
04Nvk	Num.1.1	יְהוָ֧ה	3068	HNp
04TyA	Num.1.1	אֶל	413	HR
04vuQ	Num.1.1	מֹשֶׁ֛ה	4872	HNp
04TSc	Num.1.1	בְּ/מִדְבַּ֥ר	b/4057 b	HR/Ncmsc
04k5P	Num.1.1	סִינַ֖י	5514	HNp
04nPh	Num.1.1	בְּ/אֹ֣הֶל	b/168	HR/Ncmsc
04LN3	Num.1.1	מוֹעֵ֑ד	4150	HNcmsa
04Qzf	Num.1.1	בְּ/אֶחָד֩	b/259	HR/Acmsa
04aPd	Num.1.1	לַ/חֹ֨דֶשׁ	l/2320	HRd/Ncmsa
04eYX	Num.1.1	הַ/שֵּׁנִ֜י	d/8145	HTd/Aomsa
04C5U	Num.1.1	בַּ/שָּׁנָ֣ה	b/8141	HRd/Ncfsa
04qNN	Num.1.1	הַ/שֵּׁנִ֗ית	d/8145	HTd/Aofsa
04EVS	Num.1.1	לְ/צֵאתָ֛/ם	l/3318	HR/Vqc/Sp3mp
04PB6	Num.1.1	מֵ/אֶ֥רֶץ	m/776	HR/Ncbsc
0437c	Num.1.1	מִצְרַ֖יִם	4714	HNp
04x9c	Num.1.1	לֵ/אמֹֽר	l/559	HR/Vqc
04yNB	Num.1.2	שְׂא֗וּ	5375	HVqv2mp
0429t	Num.1.2	אֶת	853	HTo
04KZG	Num.1.2	רֹאשׁ֙	7218 a	HNcmsc
04TZE	Num.1.2	כָּל	3605	HNcmsc
04thY	Num.1.2	עֲדַ֣ת	5712	HNcfsc
04JM7	Num.1.2	בְּנֵֽי	1121 a	HNcmpc
04fpo	Num.1.2	יִשְׂרָאֵ֔ל	3478	HNp
04W26	Num.1.2	לְ/מִשְׁפְּחֹתָ֖/ם	l/4940	HR/Ncfpc/Sp3mp
04yw4	Num.1.2	לְ/בֵ֣ית	l/1004 b	HR/Ncmsc
04jbg	Num.1.2	אֲבֹתָ֑/ם	1	HNcmpc/Sp3mp
04USR	Num.1.2	בְּ/מִסְפַּ֣ר	b/4557	HR/Ncmsc
04v6U	Num.1.2	שֵׁמ֔וֹת	8034	HNcmpa
045SS	Num.1.2	כָּל	3605	HNcmsc
04GzE	Num.1.2	זָכָ֖ר	2145	HAamsa
04qCU	Num.1.2	לְ/גֻלְגְּלֹתָֽ/ם	l/1538	HR/Ncfpc/Sp3mp
04g2y	Num.1.3	מִ/בֶּ֨ן	m/1121 a	HR/Ncmsc
04jQb	Num.1.3	עֶשְׂרִ֤ים	6242	HAcbpa
04794	Num.1.3	שָׁנָה֙	8141	HNcfsa
04CsU	Num.1.3	וָ/מַ֔עְלָ/ה	c/4605	HC/D/Sd
04XR4	Num.1.3	כָּל	3605	HNcmsc
04KvS	Num.1.3	יֹצֵ֥א	3318	HVqrmsa
04dBc	Num.1.3	צָבָ֖א	6635 a	HNcbsa
04nAB	Num.1.3	בְּ/יִשְׂרָאֵ֑ל	b/3478	HR/Np
04kfX	Num.1.3	תִּפְקְד֥וּ	6485 a	HVqi2mp
04Wkf	Num.1.3	אֹתָ֛/ם	853	HTo/Sp3mp
04wrL	Num.1.3	לְ/צִבְאֹתָ֖/ם	l/6635 a	HR/Ncbpc/Sp3mp
043TL	Num.1.3	אַתָּ֥ה	859 a	HPp2ms
04LeN	Num.1.3	וְ/אַהֲרֹֽן	c/175	HC/Np
04sMn	Num.1.4	וְ/אִתְּ/כֶ֣ם	c/854	HC/R/Sp2mp
04Y3z	Num.1.4	יִהְי֔וּ	1961	HVqi3mp
04NQN	Num.1.4	אִ֥ישׁ	376	HNcmsa
04uLf	Num.1.4	אִ֖ישׁ	376	HNcmsa
04kA7	Num.1.4	לַ/מַּטֶּ֑ה	l/4294	HRd/Ncmsa
043TS	Num.1.4	אִ֛ישׁ	376	HNcmsa
04NFp	Num.1.4	רֹ֥אשׁ	7218 a	HNcmsa
047am	Num.1.4	לְ/בֵית	l/1004 b	HR/Ncmsc
04hh7	Num.1.4	אֲבֹתָ֖י/ו	1	HNcmpc/Sp3ms
04BsK	Num.1.4	הֽוּא	1931	HPp3ms
04fsu	Num.1.5	וְ/אֵ֨לֶּה֙	c/428	HC/Pdxcp
048M6	Num.1.5	שְׁמ֣וֹת	8034	HNcmpc
04wM5	Num.1.5	הָֽ/אֲנָשִׁ֔ים	d/376	HTd/Ncmpa
04qty	Num.1.5	אֲשֶׁ֥ר	834 a	HTr
045gQ	Num.1.5	יַֽעַמְד֖וּ	5975	HVqi3mp
04Xw6	Num.1.5	אִתְּ/כֶ֑ם	854	HR/Sp2mp
04eHJ	Num.1.5	לִ/רְאוּבֵ֕ן	l/7205	HR/Np
04H6L	Num.1.5	אֱלִיצ֖וּר	468	HNp
04bmv	Num.1.5	בֶּן	1121 a	HNcmsc
04FV9	Num.1.5	שְׁדֵיאֽוּר	7707	HNp
04Xm1	Num.1.6	לְ/שִׁמְע֕וֹן	l/8095	HR/Np
04UE6	Num.1.6	שְׁלֻמִיאֵ֖ל	8017	HNp
04goK	Num.1.6	בֶּן	1121 a	HNcmsc
04CyH	Num.1.6	צוּרִֽישַׁדָּֽי	6701	HNp
04A4a	Num.1.7	לִֽ/יהוּדָ֕ה	l/3063	HR/Np
045Pr	Num.1.7	נַחְשׁ֖וֹן	5177	HNp
04L4k	Num.1.7	בֶּן	1121 a	HNcmsc
04Mnv	Num.1.7	עַמִּינָדָֽב	5992	HNp
04mwU	Num.1.8	לְ/יִ֨שָּׂשכָ֔ר	l/3485	HR/Np
04tKT	Num.1.8	נְתַנְאֵ֖ל	5417	HNp
04NRT	Num.1.8	בֶּן	1121 a	HNcmsc
04sRU	Num.1.8	צוּעָֽר	6686	HNp
04Wxq	Num.1.9	לִ/זְבוּלֻ֕ן	l/2074	HR/Np
049qY	Num.1.9	אֱלִיאָ֖ב	446	HNp
04n5f	Num.1.9	בֶּן	1121 a	HNcmsc
04YUq	Num.1.9	חֵלֹֽן	2497	HNp
04fQr	Num.1.10	לִ/בְנֵ֣י	l/1121 a	HR/Ncmpc
04L7t	Num.1.10	יוֹסֵ֔ף	3130	HNp
04A74	Num.1.10	לְ/אֶפְרַ֕יִם	l/669	HR/Np
04dNE	Num.1.10	אֱלִישָׁמָ֖ע	476	HNp
04xdF	Num.1.10	בֶּן	1121 a	HNcmsc
04AYg	Num.1.10	עַמִּיה֑וּד	5989	HNp
04Ls9	Num.1.10	לִ/מְנַשֶּׁ֕ה	l/4519	HR/Np
04Snp	Num.1.10	גַּמְלִיאֵ֖ל	1583	HNp
0487B	Num.1.10	בֶּן	1121 a	HNcmsc
04nLp	Num.1.10	פְּדָהצֽוּר	6301	HNp
04PzC	Num.1.11	לְ/בִ֨נְיָמִ֔ן	l/1144	HR/Np
04NPq	Num.1.11	אֲבִידָ֖ן	27	HNp
04d5m	Num.1.11	בֶּן	1121 a	HNcmsc
04BYa	Num.1.11	גִּדְעֹנִֽי	1441	HNp
04LJh	Num.1.12	לְ/דָ֕ן	l/1835	HR/Np
04tRR	Num.1.12	אֲחִיעֶ֖זֶר	295	HNp
04Q7E	Num.1.12	בֶּן	1121 a	HNcmsc
04dv1	Num.1.12	עַמִּֽישַׁדָּֽי	5996	HNp
04QwM	Num.1.13	לְ/אָשֵׁ֕ר	l/836	HR/Np
04a62	Num.1.13	פַּגְעִיאֵ֖ל	6295	HNp
04KvD	Num.1.13	בֶּן	1121 a	HNcmsc
04GLz	Num.1.13	עָכְרָֽן	5918	HNp
04BU7	Num.1.14	לְ/גָ֕ד	l/1410	HR/Np
04iy2	Num.1.14	אֶלְיָסָ֖ף	460	HNp
04zQ2	Num.1.14	בֶּן	1121 a	HNcmsc
04Wxx	Num.1.14	דְּעוּאֵֽל	1845	HNp
04jQ8	Num.1.15	לְ/נַ֨פְתָּלִ֔י	l/5321	HR/Np
04Haa	Num.1.15	אֲחִירַ֖ע	299	HNp
04fJN	Num.1.15	בֶּן	1121 a	HNcmsc
049KV	Num.1.15	עֵינָֽן	5881	HNp
04F1s	Num.1.16	אֵ֚לֶּה	428	HPdxcp
04dns	Num.1.16	קריאי	7148	HAampc
04GK3	Num.1.16	קְרוּאֵ֣י	7121	HVqsmpc
04nRZ	Num.1.16	הָ/עֵדָ֔ה	d/5712	HTd/Ncfsa
04cpb	Num.1.16	נְשִׂיאֵ֖י	5387 a	HNcmpc
04zio	Num.1.16	מַטּ֣וֹת	4294	HNcmpc
04Qsh	Num.1.16	אֲבוֹתָ֑/ם	1	HNcmpc/Sp3mp
04zTj	Num.1.16	רָאשֵׁ֛י	7218 a	HNcmpc
04fPi	Num.1.16	אַלְפֵ֥י	505	HAcbpc
04GYe	Num.1.16	יִשְׂרָאֵ֖ל	3478	HNp
04Bbz	Num.1.16	הֵֽם	1992	HPp3mp
04VA9	Num.1.17	וַ/יִּקַּ֥ח	c/3947	HC/Vqw3ms
04fV3	Num.1.17	מֹשֶׁ֖ה	4872	HNp
04Sov	Num.1.17	וְ/אַהֲרֹ֑ן	c/175	HC/Np
04V27	Num.1.17	אֵ֚ת	853	HTo
04ifp	Num.1.17	הָ/אֲנָשִׁ֣ים	d/376	HTd/Ncmpa
047ZG	Num.1.17	הָ/אֵ֔לֶּה	d/428	HTd/Pdxcp
04B2d	Num.1.17	אֲשֶׁ֥ר	834 a	HTr
04ewe	Num.1.17	נִקְּב֖וּ	5344 a	HVNp3cp
04SV6	Num.1.17	בְּ/שֵׁמֽוֹת	b/8034	HR/Ncmpa
04G83	Num.1.18	וְ/אֵ֨ת	c/853	HC/To
04vzS	Num.1.18	כָּל	3605	HNcmsc
04Gq9	Num.1.18	הָ/עֵדָ֜ה	d/5712	HTd/Ncfsa
043y8	Num.1.18	הִקְהִ֗ילוּ	6950	HVhp3cp
